station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
ALT,01.07.1945 00:00,12.9,,18.7,-0.2,-0.8,,,,,,,,,,,,,,,,,,86.3,61,,,,,,
ALT,01.08.1945 00:00,11.1,,16.3,-2.2,-2.3,,,,,,,,,,,,,,,,,,228.8,149,,,,,,
ALT,01.09.1945 00:00,9.2,,13.8,-0.9,-0.7,,,,,,,,,,,,,,,,,,147.9,140,,,,,,
ALT,01.10.1945 00:00,3.8,,9.2,-1.5,-2.5,,,,,,,,,,,,,,,,,,70.1,83,,,,,,
ALT,01.11.1945 00:00,-0.1,,2.9,-2.8,-1.9,,,,,,,,,,,,,,,,,,48.7,60,,,,,,
ALT,01.12.1945 00:00,-2.8,,1.7,-0.6,-1.5,,,,,,,,,,,,,,,,,,109.6,131,,,,,,
ALT,01.01.1946 00:00,-5.0,,-1.4,-3.0,-2.9,,,,,,,,,,,,,,,,,,57.3,82,,,,,,
ALT,01.02.1946 00:00,0.1,,4.0,1.6,1.9,,,,,,,,,,,,,,,,,,121.9,206,,,,,,
ALT,01.03.1946 00:00,1.3,,6.1,0.0,0.2,,,,,,,,,,,,,,,,,,39.9,55,,,,,,
ALT,01.04.1946 00:00,5.5,,11.4,1.5,1.1,,,,,,,,,,,,,,,,,,33.5,41,,,,,,
ALT,01.05.1946 00:00,8.6,,14.5,0.5,0.0,,,,,,,,,,,,,,,,,,59.6,51,,,,,,
ALT,01.06.1946 00:00,9.7,,15.1,-2.2,-2.3,,,,,,,,,,,,,,,,,,190.8,138,,,,,,
ALT,01.07.1946 00:00,12.4,,18.1,-0.8,-1.3,,,,,,,,,,,,,,,,,,137.5,98,,,,,,
ALT,01.08.1946 00:00,11.6,,16.8,-1.7,-1.8,,,,,,,,,,,,,,,,,,140.6,92,,,,,,
ALT,01.09.1946 00:00,9.0,,14.1,-0.6,-0.9,,,,,,,,,,,,,,,,,,57.0,54,,,,,,
ALT,01.10.1946 00:00,4.4,,8.8,-1.9,-1.9,,,,,,,,,,,,,,,,,,50.1,60,,,,,,
ALT,01.11.1946 00:00,-0.6,,3.6,-2.1,-2.4,,,,,,,,,,,,,,,,,,39.8,49,,,,,,
ALT,01.12.1946 00:00,-3.3,,-0.1,-2.4,-2.0,,,,,,,,,,,,,,,,,,30.0,36,,,,,,
ALT,01.01.1947 00:00,-6.0,,-2.3,-3.9,-3.9,,,,,,,,,,,,,,,,,,80.9,116,,,,,,
ALT,01.02.1947 00:00,-3.3,,1.1,-1.3,-1.5,,,,,,,,,,,,,,,,,,23.4,40,,,,,,
ALT,01.03.1947 00:00,1.3,,6.6,0.5,0.2,,,,,,,,,,,,,,,,,,102.3,142,,,,,,
ALT,01.04.1947 00:00,4.5,,10.7,0.8,0.1,,,,,,,,,,,,,,,,,,33.7,42,,,,,,
ALT,01.05.1947 00:00,9.2,,14.9,0.9,0.6,,,,,,,,,,,,,,,,,,54.3,46,,,,,,
ALT,01.06.1947 00:00,11.9,,17.9,0.6,-0.1,,,,,,,,,,,,,,,,,,97.4,71,,,,,,
ALT,01.07.1947 00:00,13.3,,19.4,0.5,-0.4,,,,,,,,,,,,,,,,,,98.3,70,,,,,,
