reference_timestamp,ths200m0,th9120mv,rhs150m0,rh9120mv,shs000m0,sh9120mv
01.05.1927 00:00,15.2,-0.1,12.2,23,16093.0,117.0
01.06.1927 00:00,16.1,-2.9,78.0,162,14093.0,92.0
01.07.1927 00:00,17.9,-2.7,83.3,135,13863.0,85.0
01.08.1927 00:00,16.2,-3.7,112.0,188,13152.0,88.0
01.09.1927 00:00,13.3,-2.4,77.9,207,8225.0,66.0
01.10.1927 00:00,8.5,-2.2,14.0,33,11691.0,122.0
01.11.1927 00:00,4.1,-0.9,21.3,42,5121.0,89.0
01.12.1927 00:00,-0.3,-1.2,39.7,59,3197.0,78.0
01.01.1928 00:00,0.0,-0.5,36.8,71,5427.0,97.0
01.02.1928 00:00,2.5,0.2,84.7,210,8952.0,114.0
01.03.1928 00:00,6.4,-0.8,17.7,48,7884.0,70.0
01.04.1928 00:00,9.2,-2.1,51.5,153,9741.0,77.0
01.05.1928 00:00,11.7,-3.6,37.6,72,11797.0,86.0
01.06.1928 00:00,16.9,-2.1,41.3,86,14384.0,94.0
01.07.1928 00:00,21.8,1.2,12.3,20,22048.0,135.0
01.08.1928 00:00,19.3,-0.6,63.2,106,15499.0,103.0
01.09.1928 00:00,13.9,-1.8,75.4,201,10373.0,83.0
01.10.1928 00:00,8.3,-2.4,91.1,213,8759.0,91.0
01.11.1928 00:00,4.4,-0.6,108.3,215,4098.0,72.0
01.12.1928 00:00,-1.9,-2.8,31.3,46,4495.0,110.0
01.01.1929 00:00,-4.5,-5.0,5.9,11,6311.0,113.0
01.02.1929 00:00,-4.1,-6.4,7.1,18,7831.0,100.0
01.03.1929 00:00,5.4,-1.8,6.6,18,15491.0,137.0
01.04.1929 00:00,6.9,-4.4,78.5,233,12133.0,96.0
01.05.1929 00:00,14.3,-1.0,25.9,50,15803.0,115.0
01.06.1929 00:00,17.3,-1.7,107.4,223,14960.0,98.0
01.07.1929 00:00,19.0,-1.6,49.2,79,16973.0,104.0
01.08.1929 00:00,17.4,-2.5,66.7,112,13943.0,93.0
01.09.1929 00:00,16.7,1.0,7.4,20,15807.0,127.0
01.10.1929 00:00,9.3,-1.4,48.8,114,7223.0,75.0
01.11.1929 00:00,4.3,-0.7,28.8,57,5889.0,103.0
01.12.1929 00:00,1.9,1.0,61.0,90,3896.0,95.0
01.01.1930 00:00,2.2,1.7,40.7,79,6198.0,111.0
01.02.1930 00:00,0.9,-1.4,11.8,29,7301.0,93.0
01.03.1930 00:00,6.2,-1.0,34.4,93,7845.0,70.0
01.04.1930 00:00,9.7,-1.6,49.9,148,9707.0,77.0
01.05.1930 00:00,12.1,-3.2,68.0,131,8912.0,65.0
01.06.1930 00:00,19.6,0.6,30.2,63,14384.0,94.0
01.07.1930 00:00,16.9,-3.7,89.7,145,13863.0,85.0
01.08.1930 00:00,17.3,-2.6,55.0,92,15253.0,102.0
01.09.1930 00:00,14.7,-1.0,52.4,139,9958.0,80.0
01.10.1930 00:00,7.9,-2.8,131.4,307,7223.0,75.0
01.11.1930 00:00,5.4,0.4,110.0,218,5505.0,96.0
01.12.1930 00:00,-0.3,-1.2,36.6,54,3298.0,80.0
01.01.1931 00:00,-1.8,-2.3,74.6,144,5223.0,93.0
01.02.1931 00:00,-1.7,-4.0,54.6,135,5988.0,76.0
01.03.1931 00:00,3.2,-4.0,70.4,191,8982.0,80.0
01.04.1931 00:00,8.7,-2.6,22.1,66,11182.0,89.0
01.05.1931 00:00,15.5,0.2,20.3,39,12608.0,92.0
01.06.1931 00:00,19.2,0.2,22.9,48,15538.0,102.0
01.07.1931 00:00,17.5,-3.1,59.8,97,13338.0,82.0
01.08.1931 00:00,15.2,-4.7,107.8,181,10429.0,70.0
01.09.1931 00:00,10.3,-5.4,42.1,112,11985.0,96.0
01.10.1931 00:00,8.8,-1.9,26.9,63,11501.0,120.0
01.11.1931 00:00,5.0,0.0,42.9,85,6153.0,107.0
01.12.1931 00:00,-2.5,-3.4,27.9,41,6499.0,158.0
01.01.1932 00:00,-0.2,-0.7,41.9,81,6171.0,110.0
01.02.1932 00:00,-2.8,-5.1,0.0,0,11934.0,152.0
01.03.1932 00:00,3.6,-3.6,77.3,209,7282.0,65.0
01.04.1932 00:00,7.5,-3.8,33.8,100,11464.0,91.0
01.05.1932 00:00,12.6,-2.7,93.0,179,11153.0,81.0
01.06.1932 00:00,16.2,-2.8,28.6,59,12495.0,82.0
01.07.1932 00:00,17.2,-3.4,81.3,131,10036.0,62.0
01.08.1932 00:00,19.6,-0.3,29.6,50,16614.0,111.0
01.09.1932 00:00,16.7,1.0,8.4,22,11667.0,94.0
01.10.1932 00:00,8.2,-2.5,83.2,194,6865.0,72.0
01.11.1932 00:00,4.0,-1.0,4.6,9,6479.0,113.0
01.12.1932 00:00,1.7,0.8,15.6,23,4810.0,117.0
01.01.1933 00:00,-2.5,-3.0,7.2,14,5759.0,103.0
01.02.1933 00:00,1.2,-1.1,41.1,102,5845.0,74.0
01.03.1933 00:00,5.8,-1.4,44.9,122,12267.0,109.0
01.04.1933 00:00,11.1,-0.2,12.5,37,15432.0,123.0
01.05.1933 00:00,13.1,-2.2,34.8,67,12161.0,88.0
01.06.1933 00:00,14.6,-4.4,58.3,121,10479.0,69.0
01.07.1933 00:00,19.4,-1.2,53.5,86,19968.0,123.0
01.08.1933 00:00,19.4,-0.5,28.7,48,19863.0,133.0
01.09.1933 00:00,15.4,-0.3,60.9,162,10260.0,82.0
01.10.1933 00:00,9.7,-1.0,48.4,113,7181.0,75.0
01.11.1933 00:00,3.4,-1.6,12.0,24,3425.0,60.0
01.12.1933 00:00,-4.9,-5.8,8.5,13,4705.0,115.0
01.01.1934 00:00,-2.3,-2.8,51.4,99,5734.0,102.0
01.02.1934 00:00,-0.1,-2.4,0.3,1,10410.0,133.0
01.03.1934 00:00,4.2,-3.0,47.3,128,7661.0,68.0
01.04.1934 00:00,11.8,0.5,38.2,113,14839.0,118.0
01.05.1934 00:00,15.9,0.6,16.4,32,16284.0,118.0
01.06.1934 00:00,17.3,-1.7,86.0,178,13041.0,86.0
01.07.1934 00:00,19.7,-0.9,37.4,60,15877.0,98.0
01.08.1934 00:00,16.8,-3.1,42.4,71,13239.0,88.0
01.09.1934 00:00,15.8,0.1,23.8,63,12750.0,102.0
01.10.1934 00:00,8.2,-2.5,35.3,82,11197.0,117.0
01.11.1934 00:00,3.2,-1.8,34.0,67,8420.0,147.0
01.12.1934 00:00,2.7,1.8,72.6,107,2800.0,68.0
01.01.1935 00:00,-3.6,-4.1,28.2,54,5524.0,99.0
01.02.1935 00:00,1.8,-0.5,120.7,299,3543.0,45.0
01.03.1935 00:00,5.2,-2.0,24.3,66,11064.0,98.0
01.04.1935 00:00,7.9,-3.4,79.7,236,6241.0,50.0
01.05.1935 00:00,12.7,-2.6,24.2,47,13213.0,96.0
