year-month,total precipitation (mm),mean temperature (°C)
1960-12,63.0,0.7
1961-01,47.3,0.9
1961-02,86.5,5.0
1961-03,41.2,5.7
1961-04,68.2,11.5
1961-05,127.5,11.4
1961-06,126.3,16.7
1961-07,160.0,16.5
1961-08,146.4,16.4
1961-09,29.8,17.1
1961-10,73.4,10.6
1961-11,21.1,4.6
1961-12,121.3,2.4
1962-01,106.7,1.9
1962-02,99.1,1.0
1962-03,58.8,2.8
1962-04,48.5,9.2
1962-05,117.9,11.0
1962-06,84.8,15.1
1962-07,117.0,16.8
1962-08,101.2,18.1
1962-09,42.2,13.8
1962-10,10.9,9.6
1962-11,43.1,4.2
1962-12,148.1,-2.1
1963-01,78.3,-3.9
1963-02,36.7,-2.8
1963-03,91.5,3.2
1963-04,76.4,9.7
1963-05,83.1,11.8
1963-06,141.6,15.8
1963-07,95.6,18.2
1963-08,113.3,16.0
1963-09,68.0,13.8
1963-10,59.8,9.0
1963-11,99.6,8.0
1963-12,7.4,-1.4
1964-01,17.8,-1.7
1964-02,43.8,3.2
1964-03,72.9,3.6
1964-04,112.7,9.6
1964-05,119.2,14.3
1964-06,115.3,17.7
1964-07,72.4,19.3
1964-08,107.3,16.6
1964-09,83.1,14.6
1964-10,69.8,8.1
1964-11,119.2,5.1
1964-12,30.8,-0.7
1965-01,63.9,1.9
1965-02,40.4,-2.5
1965-03,76.7,4.4
1965-04,136.5,6.9
1965-05,122.8,11.8
1965-06,150.2,16.1
1965-07,175.6,16.0
1965-08,197.3,15.8
1965-09,167.9,12.6
1965-10,6.3,8.4
1965-11,102.0,4.3
1965-12,151.0,2.6
1966-01,43.5,-0.8
1966-02,116.4,6.7
1966-03,92.3,3.5
1966-04,79.3,10.0
1966-05,123.7,13.0
1966-06,106.6,17.2
1966-07,178.7,15.6
1966-08,128.2,15.4
1966-09,26.1,14.7
1966-10,43.7,12.6
1966-11,109.0,4.1
1966-12,112.0,1.2
1967-01,104.3,-0.5
1967-02,54.0,3.6
1967-03,151.4,5.8
1967-04,70.2,7.3
1967-05,110.3,13.3
1967-06,77.6,15.2
1967-07,113.9,19.3
1967-08,115.6,17.2
1967-09,114.5,13.0
1967-10,35.8,10.9
1967-11,24.2,5.5
1967-12,57.6,-1.0
1968-01,201.9,-0.9
1968-02,41.9,2.4
1968-03,57.1,5.0
1968-04,63.6,10.3
1968-05,138.7,12.3
1968-06,92.8,16.0
1968-07,139.9,17.1
1968-08,184.0,15.3
1968-09,138.9,12.7
1968-10,25.5,10.6
1968-11,102.9,3.9
1968-12,94.7,-0.4
1969-01,51.3,1.3
1969-02,43.2,0.5
1969-03,19.5,4.5
1969-04,94.5,7.8
1969-05,102.1,14.0
1969-06,257.1,13.6
1969-07,114.1,18.3
1969-08,185.1,15.9
1969-09,23.0,14.7
1969-10,25.2,9.3
1969-11,71.2,5.3
1969-12,76.0,-3.0
1970-01,49.5,1.9
1970-02,222.7,1.3
1970-03,64.2,1.9
1970-04,156.5,5.9
1970-05,90.7,11.3
1970-06,112.0,17.1
1970-07,126.0,16.9
1970-08,209.3,16.8
1970-09,67.0,14.4
1970-10,103.7,8.9
1970-11,52.7,6.2
1970-12,32.7,-0.7
1971-01,9.0,-0.4
1971-02,61.4,0.2
1971-03,42.6,1.4
1971-04,33.6,10.6
1971-05,62.2,14.6
1971-06,222.7,13.9
1971-07,47.3,18.7
1971-08,150.7,18.1
1971-09,67.0,13.0
1971-10,22.9,9.5
1971-11,106.1,3.0
1971-12,44.2,0.0
1972-01,16.6,1.1
1972-02,7.7,6.2
1972-03,22.2,6.7
1972-04,91.6,7.5
1972-05,99.7,11.7
1972-06,122.5,14.6
1972-07,129.3,16.5
1972-08,121.5,15.8
1972-09,53.6,10.7
1972-10,88.7,7.7
1972-11,192.7,3.9
1972-12,14.1,0.9
1973-01,42.0,0.5
1973-02,36.4,0.2
1973-03,21.5,3.1
1973-04,80.3,5.2
